Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,src_ip
6,9540.000000,14,12,3380,1022,461425.5765199161425576519916,2725.366876310272536687631027,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,9706.000000,10,12,3092,1022,423861.5289511642283123840923,2266.639192252215124665155574,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,8748.000000,10,12,3092,1022,470278.9208962048468221307727,2514.860539551897576588934614,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10298.000000,10,12,3092,1022,399495.0475820547679161002136,2136.337152845212662652942319,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10548.000000,10,12,3092,1022,390026.5453166477057262040197,2085.703450891164201744406523,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11345.000000,12,14,3548,1166,415513.4420449537241075363596,2291.758483913618334067871309,181.30769230769232,269.37060105003883,1094,60,4,22,2,10.0.0.5
6,10857.000000,10,12,3092,1022,378926.0385005065856129685917,2026.342451874366767983789260,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,12401.000000,12,12,3236,1022,343359.4064994758487218772680,1935.327796145472139343601322,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10524.000000,10,12,3092,1022,390916.0015203344735841885215,2090.459901178259217027746104,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10223.000000,10,12,3092,1022,402425.9023769930548762594150,2152.010173139000293455932701,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,8912.000000,12,12,3236,1022,477782.7648114901256732495512,2692.998204667863554757630162,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,11293.000000,10,12,3092,1022,364296.4668378641636411936598,1948.109448330824404498361817,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10722.000000,12,14,3548,1166,439656.7804514083193434060810,2424.920723745569856370080209,181.30769230769232,269.37060105003883,1094,60,4,22,2,10.0.0.5
6,9732.000000,10,12,3092,1022,422729.1409782161939991779696,2260.583641594739005343197698,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9827.000000,10,12,3092,1022,418642.5155184695227434618907,2238.730029510532207184288186,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10710.000000,10,12,3092,1022,384126.9841269841269841269841,2054.154995331465919701213819,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10486.000000,10,12,3092,1022,392332.6339881747091359908449,2098.035475872592027465191684,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11362.000000,12,14,3548,1166,414891.7444111952121105439183,2288.329519450800915331807780,181.30769230769232,269.37060105003883,1094,60,4,22,2,10.0.0.5
6,10428.000000,10,12,3092,1022,394514.7679324894514767932489,2109.704641350210970464135021,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10439.000000,10,12,3092,1022,394099.0516332982086406743941,2107.481559536354056902002107,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11251.000000,10,12,3092,1022,365656.3860990134210292418452,1955.381743844991556306106124,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10610.000000,10,12,3092,1022,387747.4081055607917059377945,2073.515551366635249764373233,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10688.000000,10,12,3092,1022,384917.6646706586826347305389,2058.383233532934131736526946,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9653.000000,10,12,3092,1022,426188.7496115197347974722884,2279.084222521495908007873200,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10653.000000,10,12,3092,1022,386182.2960668356331549798179,2065.145968271848305641603304,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10564.000000,14,14,3380,1166,430329.4206739871260886028020,2650.511170011359333585762969,162.35714285714286,261.8188051586323,1094,72,4,26,0,10.0.0.5
6,10696.000000,12,12,3236,1022,398092.7449513836948391922214,2243.829468960359012715033657,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,6910.000000,12,12,3236,1022,616208.3936324167872648335745,3473.227206946454413892908828,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10237.000000,12,12,3236,1022,415942.1705577805997850932890,2344.436846732441144866660154,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10417.000000,10,12,3092,1022,394931.3621964097148891235480,2111.932418162618796198521647,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11586.000000,10,12,3092,1022,355083.7217331261867771448300,1898.843431727947522872432246,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9875.000000,12,12,3236,1022,431189.8734177215189873417722,2430.379746835443037974683544,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10659.000000,10,12,3092,1022,385964.9122807017543859649123,2063.983488132094943240454076,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11133.000000,10,12,3092,1022,369532.0219168238570017066379,1976.107069073924368993083625,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,12107.000000,10,12,3092,1022,339803.4195093747418848599983,1817.130585611629635747914430,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,7167.000000,6,6,1626,590,309194.9211664573740756243896,1674.340728338216827124319799,184.66666666666666,277.91375560694286,1094,72,4,10,0,10.0.0.5
6,1221.000000,4,6,1466,432,1554463.554463554463554463554,8190.008190008190008190008190,189.8,304.9674736754725,1094,72,0,10,0,10.0.0.5
6,10398.000000,10,12,3092,1022,395653.0101942681284862473553,2115.791498365070205808809386,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9362.000000,14,12,3380,1022,470198.6754966887417218543046,2777.184362315744499038666952,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,9139.000000,14,12,3380,1022,481671.9553561658824816719554,2844.950213371266002844950213,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,10526.000000,12,12,3236,1022,404522.1356640699220976629299,2280.068402052061561846855406,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,8637.000000,10,12,3092,1022,476322.7972675697580178302651,2547.180734051175176565937247,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,8078.000000,12,12,3236,1022,527110.6709581579598910621441,2971.032433770735330527358257,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,12662.000000,10,12,3092,1022,324909.1770652345601010898752,1737.482230295371979150213236,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10933.000000,12,14,3236,1142,400439.0377755419372541845788,2378.121284185493460166468490,168.3846153846154,270.8055045632846,1094,60,4,22,2,10.0.0.5
6,9102.000000,12,12,3236,1022,467809.2726873214678092726873,2636.783124588002636783124588,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,9118.000000,12,14,3236,1142,480149.1555165606492651897346,2851.502522483000658039043650,168.3846153846154,270.8055045632846,1094,60,4,22,2,10.0.0.5
6,9198.000000,12,12,3236,1022,462926.7232006958034355294629,2609.262883235485975212002609,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,8609.000000,12,12,3236,1022,494598.6758043907538622371936,2787.780229991868974329190382,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,9047.000000,12,12,3236,1022,470653.2552227257654471095391,2652.813087211230242069194208,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,6613.000000,4,6,304,590,135188.2655375774988658702556,1512.172992590352336307273552,89.4,27.037751385793904,143,72,4,8,0,10.0.0.5
6,1256.000000,6,6,2788,432,2563694.267515923566878980892,9554.140127388535031847133758,268.3333333333333,373.61730271614687,1094,72,0,12,0,10.0.0.5
6,9268.000000,12,12,3236,1022,459430.2977988778593008200259,2589.555459646094087181700475,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10517.000000,12,12,3236,1022,404868.3084529808880859560711,2282.019587334791290291908339,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,12460.000000,10,12,3092,1022,330176.5650080256821829855538,1765.650080256821829855537721,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10019.000000,12,12,3236,1022,424992.5142229763449446052500,2395.448647569617726319992015,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,13024.000000,10,12,3092,1022,315878.3783783783783783783784,1689.189189189189189189189189,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9038.000000,12,12,3236,1022,471121.9296304492144279707900,2655.454746625359592830272184,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10871.000000,10,12,3092,1022,378438.0461779045166038082973,2023.732867261521479164750253,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,8630.000000,12,14,3236,1142,507300.1158748551564310544612,3012.746234067207415990730012,168.3846153846154,270.8055045632846,1094,60,4,22,2,10.0.0.5
6,10858.000000,12,14,3236,1142,403205.0101307791490145514828,2394.547798857984895929268742,168.3846153846154,270.8055045632846,1094,60,4,22,2,10.0.0.5
6,9181.000000,12,12,3236,1022,463783.9015357804160766801002,2614.094325236902298224594271,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
